n,p,seed,n_edges,C_star,final_expectation,approximation_ratio,gammas,betas,gate_count,cnot_count,single_qubit_count,depth,n_iterations,wall_time_seconds
6,2,3,9,7,-6.6029488851,0.9432784122000001,"[0.5023253916, 0.9168182614]","[1.0923578474, 1.2848645881]",72,36,36,36,202,2.5213561058
6,2,4,9,7,-6.602948885,0.9432784121000001,"[0.5023255828000001, 0.9168189158000001]","[1.0923572352, 1.2848638029]",72,36,36,27,196,2.5393431187
6,3,0,9,7,-6.8780130837,0.9825732977,"[0.40903672280000003, 0.8584775790000001, 1.0478317128]","[1.0641044225, 1.2281701404, 1.4016901663]",105,54,51,37,376,3.1556601524
6,3,1,9,9,-8.8578601911,0.9842066879,"[2.7173651847, 2.4536003057, 2.3192082056]","[0.985704302, 0.5938199031, 1.260685061]",105,54,51,52,357,3.2372820377
6,3,2,9,7,-6.8780138052,0.9825734007,"[0.4090296049, 0.85872844, 1.0477682792]","[1.0640476172, 1.2279751766, 1.4019220006]",105,54,51,76,376,3.1125810146
6,3,3,9,7,-6.8779958168,0.9825708310000001,"[0.40933599870000004, 0.8596322349000001, 1.0501792622]","[1.0638705492, 1.2282343487, 1.4019067366]",105,54,51,52,402,3.1094610691
6,3,4,9,7,-6.8780189709,0.9825741387,"[0.4088670236, 0.8583466455000001, 1.0466006477]","[1.0640631892, 1.227963658, 1.4016997359]",105,54,51,37,396,3.203551054
8,1,0,12,10,-8.0069211978,0.8006921198,[0.5814586005],[1.2122114976],52,24,28,23,51,2.8807299137
8,1,1,12,10,-8.0069211978,0.8006921198,[0.5814582437],[1.2122117078],52,24,28,26,51,2.9742879868
8,1,2,12,10,-8.0069211978,0.8006921198,[0.5814573327],[1.2122112989],52,24,28,29,51,3.0576608181
8,1,3,12,10,-8.1506115625,0.8150611563,[2.5431736416],[1.1956725522],52,24,28,26,49,3.0955169201
8,1,4,12,10,-8.0069211978,0.8006921198,[0.5814581034],[1.2122121153],52,24,28,26,58,3.0065667629
8,2,0,12,10,-8.7842446845,0.8784244685,"[0.5085227289, 0.9279391034000001]","[1.0778460587, 1.2951331728]",96,48,48,36,150,3.4049978256
8,2,1,12,10,-8.7842446846,0.8784244685,"[0.5085241247, 0.9279411316]","[1.0778459639, 1.2951334272]",96,48,48,42,170,3.6265809536
8,2,2,12,10,-8.7842446845,0.8784244685,"[0.5085227926, 0.9279389967]","[1.07784607, 1.2951332422]",96,48,48,54,150,3.4332339764
8,2,3,12,10,-8.987257273500001,0.8987257273,"[2.6740378823, 2.2921039215]","[1.0426047734, 0.2910579347]",96,48,48,48,172,3.4713857174
8,2,4,12,10,-8.7842446845,0.8784244685,"[0.5085237518, 0.9279411135000001]","[1.0778465913, 1.2951339142]",96,48,48,51,165,3.4301178455
8,3,0,12,10,-9.3609801029,0.9360980103000001,"[0.4417409089, 0.8724999368, 0.9916175692]","[1.0451826259, 1.1539471465, 1.3190627723]",140,72,68,49,350,4.5054500103
8,3,1,12,10,-9.360980103,0.9360980103000001,"[0.4417392449, 0.8725014557, 0.9916195430000001]","[1.0451835441, 1.1539481121, 1.3190647599]",140,72,68,58,370,4.3273410797
8,3,2,12,10,-9.3609801029,0.9360980103000001,"[0.4417409161, 0.8724998993, 0.9916175401]","[1.0451826139, 1.1539471301, 1.3190627659]",140,72,68,79,350,4.4464921951
8,3,3,12,10,-9.4826466262,0.9482646626000001,"[2.6870846136, 2.3034390485, 2.1147211838]","[1.0244855186, 0.4213842848, 1.347554751]",140,72,68,70,372,4.390073061
8,3,4,12,10,-9.3609801023,0.9360980102,"[0.4417417072, 0.8725148025, 0.9916377609]","[1.0451800788, 1.1539477633, 1.3190643116]",140,72,68,76,365,4.2560031414
10,1,0,15,13,-9.9417804258,0.7647523404000001,[0.5747586978],[1.2185134908],65,30,35,23,55,4.5494859219
10,1,1,15,12,-9.8160280684,0.8180023390000001,[0.5615789306],[1.2305654341],65,30,35,23,53,4.4540598392
10,1,2,15,13,-10.2264106253,0.7866469712,[2.5397588046],[1.1922359709],65,30,35,32,49,4.7040600777
10,1,3,15,13,-10.2264106253,0.7866469712,[2.5397584204],[1.1922360466],65,30,35,29,58,4.75167799
10,1,4,15,13,-10.3867513459,0.7989808728000001,[2.526112952],[1.1780976787],65,30,35,29,47,4.5710158348
10,2,0,15,13,-10.8684693162,0.8360361012,"[0.48413051900000004, 0.9069501857000001]","[1.0737383732, 1.2946453203]",120,60,60,42,175,5.4448702335
10,2,1,15,12,-10.7106395216,0.8925532935,"[0.5418217174000001, 1.0476229]","[1.1521375065, 1.3278686395000001]",120,60,60,42,253,5.535449028
10,2,2,15,13,-11.1651480002,0.8588575385,"[2.6741023957, 2.2726696347]","[1.046425372, 0.27934743030000003]",120,60,60,54,167,5.4164688587
10,2,3,15,13,-11.5012080327,0.8847083102000001,"[2.6495890928, 2.2819954069]","[1.007878078, 0.3269988642]",120,60,60,45,169,5.3122742176
10,2,4,15,13,-11.4791700172,0.8830130782000001,"[2.6760810003, 2.2994704961]","[1.0240703524, 0.299137082]",120,60,60,51,184,5.4041950703
10,3,0,15,13,-11.4939481074,0.8841498544,"[0.4385787204, 0.8383532132, 0.9962176054]","[1.0057805661, 1.1459822966, 1.3408368691]",175,90,85,61,375,6.8023328781
10,3,1,15,12,-11.1771101022,0.9314258419,"[0.416290042, 0.9326188494000001, 1.1122083508]","[1.0421404925, 1.2330962739, 1.3786899388]",175,90,85,61,453,6.9565470219
10,3,2,15,13,-11.7006173031,0.9000474849000001,"[2.695489808, 2.2832463347, 2.0697396455]","[1.0129591111, 0.3977088677, 1.3627509716]",175,90,85,76,367,6.630297184
10,3,3,15,13,-12.2073233435,0.9390248726,"[2.7277943171, 2.3780070232, 2.2423782809]","[0.9906206944, 0.47843205250000004, 1.3184543038]",175,90,85,61,369,6.9084410667
10,3,4,15,13,-12.1142613771,0.9318662598,"[2.7157014582, 2.3722125244, 2.1959062452]","[0.9826026319000001, 0.46132163530000003, 1.3254704244]",175,90,85,73,384,6.8751091957
